rok,miasto,nazwa
2020,GDYNIA,Kino plenerowe w Małym Kacku - projekcja  filmów na świeżym powietrzu
2020,GDYNIA,Rodzinne warsztaty budowy domków dla małych zwierząt
2020,GDYNIA, imprezy na orientację dla mieszkańców dzielnicy Leszczynki
2020,GDYNIA,"Śladami obiektów historyczno - militarnych i walorów przyrodniczych Redłowa. Spotkania, panele dyskusyjne, konkursy, pokazy oraz wycieczka szlakiem historyczno-turystycznym."
2020,GDYNIA,Zabawa z mapą - gra terenowa na orientację (Chwarzno-Wiczlino)
2020,GDYNIA,"Strzelców: linarium, trampoliny i plac zabaw oraz montaż radarowych wyświetlaczy prędkości, znaków, ławek, koszy i dystrybutorów woreczków dla psów"
2020,GDYNIA,"Budowa siłowni zewnętrznej przy ul. mjr. H. Sucharskiego 
Teren Szkoły Podstawowej nr "
2020,GDYNIA,"Cykl spotkań dla dzieci, dorosłych i seniorów w Bibliotece Wzgórze."
2020,GDYNIA,Cykliczne warsztaty dla seniorów z dzielnicy Śródmieście rozwijające pamięć i koncentrację
2020,GDYNIA,"Zajęcia artystyczno-muzyczne, edukacyjne i rekreacyjne w bibliotece Pogórze"
2020,GDYNIA,Cykliczne warsztaty dla seniorów z dzielnicy Dąbrowa rozwijające pamięć i koncentrację
2020,GDYNIA,"Montaż lustra drogowego przy Swarzewskiej  - wyjazd z parkingu, + strefa  km/h"
2020,GDYNIA,Ławki w różnych punktach dzielnicy Pustki Cisowskie-Demptowo
2020,GDYNIA,Zaaranżowanie zieleni wzdłuż ul. Morskiej na odcinku od ul. Mireckiego do ul. Grabowo
2020,GDYNIA,Ułożenie chodnika na odcinku drogi pomiędzy ul. S. Wyspiańskiego i B. Prusa
2020,GDYNIA,Modernizacja sceny w Parku Kilońskim
2020,GDYNIA,Zajęcia z samoobrony dla Pań w każdym wieku.
2020,GDYNIA,Fontanna na stawie przy Skwerze Księdza Piotra Mazura
2020,GDYNIA,Renowacja zabytkowego okopu MPS na Kolibkach
2020,GDYNIA,Usprawnienie i rozbudowa systemu monitoringu w dzielnicach Gdyni
2020,GDYNIA,Bezpłatne lekcje tańca towarzyskiego
2020,GDYNIA,Koncert z okazji Międzynarodowego Dnia Seniora
2020,GDYNIA,Cykliczne spacery i pikniki na łonie natury oraz warsztaty edukacyjne dla rodziców z dziećmi
2020,GDYNIA,"Warsztaty dotyczące przeciwdziałaniu agresji rówieśniczej dla dzieci, młodzieży oraz rodziców z dzielnicy"
2020,GDYNIA,Zajęcia rozwijające kreatywność -  rysunek i malarstwo z natury i z wyobraźni - dla starszych dzieci i młodzieży
2020,GDYNIA,Remont schodów łączących ul. Wiosny Ludów z ul. Powstań Chłopskich
2020,GDYNIA,"Rodzinny piknik w idei zero waste (niemarnowania/bez śmieci): animacje, warsztaty, zabawy dla dzieci i dorosłych"
2020,GDYNIA,Ławka z zadaszeniem do karmienia i przewijania dzieci w pobliżu placu zabaw w Parku Centralnym
2020,GDYNIA,"Cotygodniowe zajęcia ruchowe poprawiające prawidłowe funkcjonowanie kręgosłupa i innych stawów dla każdego, z przerwą wakacyjną"
2020,GDYNIA,Uporządkowanie i poprawa estetyki placu na końcu ul. Orłowskiej
2020,GDYNIA,Cykl zajęć gimnastycznych dla seniorów
2020,GDYNIA,Stworzenie przestrzeni rekreacyjnej dla mieszkańców dzielnicy na terenie Leśnej Polany w okolicy ulicy Szafranowej
2020,GDYNIA,Kino letnie na Dąbrowie - projekcja czterech filmów w plenerze
2020,GDYNIA,"Ograniczamy ilość odpadów plastikowych w Gdyni poprzez edukację, rozdawanie mieszkańcom worków kompostowalnych oraz szycie i dystrybucję wielorazowych woreczków i siatek na zakupy"
2020,GDYNIA,Przeprowadzenie warsztatów szkoleniowych na terenie dzielnicy Chyloni z zakresu udzielania pierwszej pomocy przedmedycznej
2020,GDYNIA,Zabawa z mapą - gra terenowa na orientację (Leszczynki)
2020,GDYNIA,Renowacja placu poległych żołnierzy I Brygady – nowe nasadzenia oraz elementy małej architektury
2020,GDYNIA,"Warsztaty szachowe dla dzieci, młodzieży i dorosłych"
2020,GDYNIA,Zajęcia samoobrony dla kobiet - mieszkanek Śródmieścia - prowadzone w systemie walki Krav Maga
2020,GDYNIA,Zimowe kino w Chwarznie Wiczlinie – projekcja pięciu filmów
2020,GDYNIA,Cykliczne warsztaty dla seniorów z dzielnicy Grabówek rozwijające pamięć i koncentrację
2020,GDYNIA,Park kieszonkowy w okolicy przystanku Dąbrowa Centrum
2020,GDYNIA,Zajęcia z języka włoskiego i hiszpańskiego na Dąbrowie
2020,GDYNIA,"Projekt stworzenia identyfikacji wizualnej  dzielnic w Gdyni: Orłowo, Wielki Kack, Wzgórze św. Maksymiliana, Grabówek, Chwarzno-Wiczlino, Cisowa, Obłuże, Pogórze"
2020,GDYNIA,Organizacja biegowej imprezy w dzielnicy Mały Kack dla dzieci i młodzieży
2020,GDYNIA,Organizacja imprezy biegowej dla dzieci i młodzieży
2020,GDYNIA,"Warsztaty robotyki z klockami Lego, eksperymenty, rytmika, spotkania autorskie, teatralne, podróżnicze oraz z dietetyczką w Bibliotece Chylonia"
2020,GDYNIA,Budowa pochylni zewnętrznej oraz platformy schodowej ułatwiających dostęp do SP nr  dla osób z niepełnosprawnością oraz wózków dziecięcych
2020,GDYNIA,Cykl pokazów filmowych w plenerze
2020,GDYNIA,Teatr letni na Dąbrowie - dwa spektakle pod gołym niebem (dla dzieci i dla dorosłych)
